City,State,Latitude,Longitude,Timezone
New York,NY,40.712776,-74.005974,EST
Los Angeles,CA,34.052235,-118.243683,PDT
Chicago,IL,41.878113,-87.629799,CDT
Houston,TX,29.760427,-95.369804,CDT
Phoenix,AZ,33.448376,-112.074036,MST
Philadelphia,PA,39.952583,-75.165222,EST
San Antonio,TX,29.424122,-98.493629,CDT
San Diego,CA,32.715736,-117.161087,PDT
Dallas,TX,32.776664,-96.796988,CDT
San Jose,CA,37.354107,-121.955235,PDT
Austin,TX,30.267153,-97.743061,CDT
Jacksonville,FL,30.332184,-81.655651,EST
Indianapolis,IN,39.768403,-86.158068,CDT
San Francisco,CA,37.774929,-122.419416,PDT
Columbus,OH,39.961178,-82.998795,CDT
Fort Worth,TX,32.755488,-97.330766,CDT
Charlotte,NC,35.227085,-80.843124,EST
Seattle,WA,47.606209,-122.332071,PDT
Denver,CO,39.739235,-104.990250,MDT
El Paso,TX,31.761877,-106.485021,MDT
Washington, DC,38.895110,-77.036366,EST
Boston,MA,42.360081,-71.058884,EST
Nashville,TN,36.162664,-86.781602,CDT
Baltimore,MD,39.290882,-76.610759,EST
Oklahoma City,OK,35.463368,-97.515701,CDT
Louisville,KY,38.252232,-85.749562,EDT
Milwaukee,WI,43.038902,-87.906471,CDT
Portland,OR,45.505106,-122.675026,PDT
Las Vegas,NV,36.169941,-115.139830,PDT
Albuquerque,NM,35.085334,-106.605553,MDT
Tucson,AZ,32.222606,-110.974710,MST
Fresno,CA,36.746840,-119.772591,PDT
Sacramento,CA,38.581573,-121.494400,PDT
Mesa,AZ,33.415184,-111.831472,MST
Kansas City,MO,39.099724,-94.578331,CDT
Long Beach,CA,33.770050,-118.193741,PDT
Raleigh,NC,35.772096,-78.638614,EST
Virginia Beach,VA,36.852928,-75.977985,EST
Atlanta,GA,33.749001,-84.387978,EST
Colorado Springs,CO,38.833882,-104.821363,MDT
Omaha,NE,41.256535,-95.934503,CDT
Raleigh,NC,35.772096,-78.638614,EST
Virginia Beach,VA,36.852928,-75.977985,EST
Oakland,CA,37.804363,-122.271111,PDT
Minneapolis,MN,44.977753,-93.265015,CDT
Tulsa,OK,36.154014,-95.992775,CDT
Wichita,KS,37.686880,-97.336097,CDT
New Orleans,LA,29.951065,-90.071533,CDT
Arlington,TX,32.735687,-97.108066,CDT
Cleveland,OH,41.505493,-81.681290,EDT
Tampa,FL,27.950575,-82.457178,EST
Bakersfield,CA,35.373297,-119.018714,PDT
Aurora,CO,39.729432,-104.831919,MDT
Anaheim,CA,33.836594,-117.914301,PDT
