Business Name,Address,Phone Number,Website,Email,Number of Reviews,Timezone
Infrared Water Damage & Mold Inspection,"835 San Julian St, Los Angeles, CA 90014, USA",+1 213-797-4319,N/A,N/A,0,PDT
Y & B Electric & Plumbing,"546 S Spring St, Los Angeles, CA 90013, USA",+1 213-335-6059,N/A,N/A,0,PDT
California Plumbing & Mech,"645 W 9th St APT 700, Los Angeles, CA 90015, USA",+1 818-405-0171,N/A,N/A,3,PDT
Melvin's Rooter,"Los Angeles, CA 90055, USA",+1 818-671-0570,N/A,N/A,5,PDT
Aqua Inc,"117 W 9th St, Los Angeles, CA 90015, USA",+1 213-488-1252,N/A,N/A,2,PDT
Shine Trim Corporation,"830 E 9th St, Los Angeles, CA 90021, USA",+1 213-683-0899,N/A,N/A,1,PDT
"OK PLUMBING, INC.","720 E 2nd St, Los Angeles, CA 90012, USA",+1 213-626-6211,N/A,N/A,0,PDT
Dry Water Damage Restoration,"312 Flower St # 115, Los Angeles, CA 90071, USA",+1 213-867-2133,N/A,N/A,2,PDT
Dtla Plumbing,"St Vincent Ct, Los Angeles, CA 90014, USA",N/A,N/A,N/A,2,PDT
W S Pitman & Son Plumbing Services,"624 S Grand Ave, Los Angeles, CA 90017, USA",+1 310-288-0193,N/A,N/A,1,PDT
All in Sanitation | Grease Trap Cleaning | Septic Pumping,"527 W 7th St, Los Angeles, CA 90014, USA",+1 818-698-4252,https://www.allinsanitation.com/los-angeles-ca/,N/A,1,PDT
One Star Inc,"742 S Hill St #310, Los Angeles, CA 90014, USA",+1 213-622-1055,N/A,N/A,1,PDT
Prime Leak Detection,"601 S Figueroa St #4050, Los Angeles, CA 90071, USA",+1 888-340-1380,http://primeleakdetection.com/,N/A,2,PDT
"Wocinco's Plumbing, Inc.","117 W 9th St #323, Los Angeles, CA 90015, USA",+1 818-849-9023,N/A,N/A,3,PDT
Mecânico HVAC Los Angeles,"250 Francisco St, Los Angeles, CA 90017, USA",+1 818-938-2482,N/A,N/A,1,PDT
Velvet Plumbing,"951 S Olive St, Los Angeles, CA 90015, USA",+1 323-746-8035,https://velvetplumbing.com/Los-Angeles,N/A,7,PDT
Gateway Rooter & Plumbing,"5136 1334 Kellam Ave, Los Angeles, CA 90026, USA",+1 323-945-5329,http://gatewayrooter.com/,info@gatewayrooter.com,4,PDT
Express Plumbing Remodeling Services,"1201 S Hope St, Los Angeles, CA 90015, USA",+1 818-455-6221,http://expressplumbingremodel.com/,N/A,10,PDT
